                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                             elapsed_time 
                                       2                  3.4369332366807200E-007                  1.4000000000002661E+000                 -6.8160114221751176E+000                  2.2102478549196253E+001                 -8.5228787452803374E+000                                      875                  1.3999999999999999E+000                  9.5817170207234481E-001                  7.0531713259880391E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5817170207234481E-001                  7.0531713259880391E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005295E+033                  2.7848800000005295E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                 -4.3170819064329824E-001                 -2.0823299288401152E+001                 -2.2464886728207629E+000                 -4.2510584171771709E-001                  6.1361436337700486E+000                  8.1653237118128952E-001                 -8.8026593111357049E-002                 -4.7930417276431490E+000                  1.4270091457270102E+001                  1.8624793114343553E+014                  8.1305005539868773E+000                  6.6103011093434976E+000                  2.3175447147826802E+001                  2.4199201343358858E+000                  4.0594781261121765E-001                  1.3719367683796824E+002                  3.4453477517847808E-003                  9.3458306909791917E-003                  1.8922848754280993E-013                  7.1613147377789784E-014                 -5.3616844177791227E+000                 -4.3171329346783993E-001                 -2.0823299288401152E+001                  8.8729531402211475E-011                                        0                                        0                  1.8832000000000001E+001 
                                       6                  4.0039964789530292E-006                  1.4000000000002772E+000                 -5.8176518610268282E+000                  2.2103227146349514E+001                 -8.5228787452803374E+000                                      791                  1.3999999999979447E+000                  6.2872923056800656E-001                  3.5205120921810718E-006                  9.5652151585407563E-001                  8.8805286132843841E-001                  6.2872923056800656E-001                  3.5205120921810718E-006                  9.5652151585407563E-001                  8.8805286132843841E-001                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005514E+033                  2.7848800000005514E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  8.7588816989663587E-002                 -1.8862381241038296E+001                 -2.9628749965183974E+000                  8.7975297184451129E-002                  6.1752309489892081E+000                  1.1704067210849942E+000                  6.8336807069530867E-002                 -4.7930346579910239E+000                  1.4270075250738998E+001                  1.8624098107453972E+014                  8.1651555841978372E+000                  6.6103412519625122E+000                  2.3176195622552331E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847825E-003                  9.3458306909792004E-003                  1.9693231477116687E-013                  7.4663516903565590E-014                 -5.0553359811566132E+000                  8.7585691910122540E-002                 -1.8862381241038296E+001                  3.9905072657001749E-012                                        0                                        0                  7.9590000000000003E+001 
                                      10                  7.8914058247298115E-006                  1.4000000000002888E+000                 -6.1625543195714609E+000                  2.2104020780353370E+001                 -8.5228787452803374E+000                                      779                  1.3999999999957344E+000                  2.8270475639255421E-001                  1.4056338192736106E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8270475639255421E-001                  1.4056338192736106E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005744E+033                  2.7848800000005744E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  8.7091377449229002E-001                 -1.2644502701651081E+001                 -7.3708448848629893E-001                  8.8149376586141170E-001                  6.2709450503137951E+000                  2.8263735458118715E+000                  4.5122955955214500E-001                 -4.7930164843988914E+000                  1.4270033589685434E+001                  1.8622311618407769E+014                  8.1970935278442578E+000                  6.6104031595008195E+000                  2.3176985399289176E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847816E-003                  9.3458306909791986E-003                  2.0492105962304945E-013                  7.8028615012205445E-014                 -5.0464331939083849E+000                  8.7091324915575463E-001                 -1.2644502701651081E+001                  1.1454661562340733E-011                                        0                                        0                  1.3693000000000001E+002 
                                      20                  1.2300321950430956E-005                  1.4000000000003021E+000                 -6.2008082528720738E+000                  2.2104919130867149E+001                 -8.5228787452803374E+000                                      768                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006009E+033                  2.7848800000006009E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0314098926166391E+000                 -8.4241229985275599E+000                  2.4762950061912054E-001                  1.0975569726162377E+000                  6.4090981388049082E+000                  1.0090159533076489E+001                  1.0038980328164029E+000                 -4.7929884247489900E+000                  1.4269969266573524E+001                  1.8619553682531397E+014                  8.2236973021485724E+000                  6.6105667445135010E+000                  2.3177884245137186E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847799E-003                  9.3458306909791952E-003                  2.1365186247040377E-013                  8.2257121678783660E-014                 -5.4330277625039844E+000                  1.0314097435615766E+000                 -8.4241229985275599E+000                  4.5843694942774958E-012                                        0                                        0                  2.8179100000000000E+002 
                                      30                  4.1171382046430159E-005                  1.4000000000003887E+000                 -5.2345530866324665E+000                  2.2110756346536316E+001                 -8.5228787452803374E+000                                      762                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000007733E+033                  2.7848800000007733E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.1631588724870281E+000                 -5.5024063464267714E+000                  3.3757074436175583E-001                  1.2236381118814701E+000                  6.4907071333301589E+000                  2.1399364240870423E+001                  1.3304008709761432E+000                 -4.7929549947196195E+000                  1.4269892633658944E+001                  1.8616268481255950E+014                  8.2985323563542686E+000                  6.6129381683401993E+000                  2.3183717092327495E+001                  2.4199201343186307E+000                  4.0594781261230029E-001                  1.3719367680288514E+002                  3.4453477517847808E-003                  9.3458306909791969E-003                  2.6968813495239127E-013                  1.1103778723462389E-013                 -5.0842889740702946E+000                  1.1631586268258176E+000                 -5.5024063464267714E+000                  2.2141441340714716E-013                                        1                                        0                  4.3127199999999999E+002 
                                      40                  1.1109568719805059E-004                  1.4000000000005983E+000                 -5.2345530866324665E+000                  2.2124576956131548E+001                 -8.5228787452803374E+000                                      765                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000011901E+033                  2.7848800000011901E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.3648509799909907E+000                 -3.4015305500572275E+000                  2.7162644786690299E-001                  1.3985556909890948E+000                  6.5282594514087675E+000                  3.0247066090209852E+001                  1.4806832552652855E+000                 -4.7929184387322659E+000                  1.4269808836357671E+001                  1.8612676811012494E+014                  8.3212860168177567E+000                  6.6215698247151940E+000                  2.3197525042593792E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847803E-003                  9.3458306909791952E-003                  4.0131995455725755E-013                  1.8454032045050827E-013                 -4.6654359062780140E+000                  1.3648505749512583E+000                 -3.4015305500572275E+000                  2.2847628646286261E-013                                        4                                        0                  5.8566999999999996E+002 
                                      50                  2.1015511949617954E-004                  1.4000000000008956E+000                 -4.9335230909684853E+000                  2.2143432582852334E+001                 -8.5228787452803374E+000                                      766                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000017815E+033                  2.7848800000017815E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.5531647174810719E+000                 -1.4519018737633771E+000                  3.9951868141434904E-001                  1.5830316835124993E+000                  6.5675064050979097E+000                  4.3426477790570665E+001                  1.6377546062871282E+000                 -4.7928766705996297E+000                  1.4269713092998497E+001                  1.8608573964078062E+014                  8.3488656770042908E+000                  6.6334042301210925E+000                  2.3216366820386131E+001                  2.4199201343186303E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847829E-003                  9.3458306909791986E-003                  5.7639823083447537E-013                  2.9960049766880030E-013                 -4.2362688621352813E+000                  1.5531640122180976E+000                 -1.4519018737633771E+000                  1.2367026249427895E-013                                        6                                        0                  7.3808100000000002E+002 
                                      60                  2.6441929380655163E-004                  1.4000000000010586E+000                 -6.7397030649523728E+000                  2.2153424733623311E+001                 -8.5228787452803374E+000                                      764                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000021055E+033                  2.7848800000021055E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.6536042264244446E+000                 -5.8035376839875585E-001                  3.4939658058140621E-001                  1.6770503299941817E+000                  6.5890581463882034E+000                  5.2966976513179446E+001                  1.7240051830334151E+000                 -4.7928548648070715E+000                  1.4269663109223103E+001                  1.8606432391257728E+014                  8.3680624071490186E+000                  6.6395346695408142E+000                  2.3226350031927275E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847825E-003                  9.3458306909791986E-003                  6.6578926083071137E-013                  3.6806324115060573E-013                 -4.0326012776172382E+000                  1.6536033319266905E+000                 -5.8035376839875585E-001                  1.9715614003924748E-011                                       13                                        3                  9.6142899999999997E+002 
                                      70                  2.6485176835013263E-004                  1.4000000000010597E+000                 -7.6427930519443166E+000                  2.2153503452787049E+001                 -8.5228787452803374E+000                                      766                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000021078E+033                  2.7848800000021078E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.6545165629736318E+000                 -5.7317026486538991E-001                  3.4862833622979178E-001                  1.6779187052998690E+000                  6.5897536535636743E+000                  5.3307433740375771E+001                  1.7267877757678782E+000                 -4.7928545827907838E+000                  1.4269662462781733E+001                  1.8606404695859397E+014                  8.3682524529030715E+000                  6.6395801858117434E+000                  2.3226426284872424E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453477517847842E-003                  9.3458306909792038E-003                  6.6648312776895942E-013                  3.6862068984111050E-013                 -4.0266000476865687E+000                  1.6545156579328417E+000                 -5.7317026486538991E-001                  3.8312659208959643E-010                                       17                                        4                  1.1473399999999999E+003 
