Run Number,Number of Peaks,Baseline After Peak 5,Closest Reset Point
1,10,1500.0,1500
3,11,1510.0,1500
5,10,1530.0,1500
7,10,1550.0,1500
9,10,1440.0,1000
11,10,1470.0,1000
13,10,1460.0,1000
15,10,1520.0,1500
17,9,1482.0,1000
19,1,DNC,DNC
21,10,1500.0,1500
23,10,1460.0,1000
25,1,DNC,DNC
27,10,1550.0,1500
29,10,1450.0,1000
31,11,1440.0,1000
33,10,1480.0,1000
35,10,1540.0,1500
37,8,2246.0,2000
39,10,1460.0,1000
41,10,1520.0,1500
43,10,1510.0,1500
45,5,1488.0,1000
47,10,1500.0,1500
49,10,1480.0,1000
51,10,1540.0,1500
53,8,1470.0,1000
55,10,1520.0,1500
57,11,1460.0,1000
59,10,1510.0,1500
61,5,2354.0,2000
63,10,1470.0,1000
65,10,1500.0,1500
67,3,DNC,DNC
69,10,1528.0,1500
71,10,1470.0,1000
73,9,1518.0,1500
75,10,1468.0,1000
77,10,1540.0,1500
79,10,1570.0,1500
81,10,1470.0,1000
83,8,1496.0,1000
85,10,1540.0,1500
87,10,1440.0,1000
89,5,1492.0,1000
91,10,1510.0,1500
93,10,1480.0,1000
95,10,1460.0,1000
97,6,1478.0,1000
99,6,1480.0,1000
101,10,1510.0,1500
103,11,1420.0,1000
105,10,1430.0,1000
107,8,1490.0,1000
109,11,1470.0,1000
111,10,1520.0,1500
113,10,1510.0,1500
115,10,1480.0,1000
117,10,1470.0,1000
119,10,1520.0,1500
121,10,1460.0,1000
123,10,1480.0,1000
125,11,1420.0,1000
127,10,1470.0,1000
129,10,1530.0,1500
131,6,1526.0,1500
133,10,1450.0,1000
135,10,1490.0,1000
137,10,1470.0,1000
139,7,1470.0,1000
141,10,1480.0,1000
143,10,1490.0,1000
145,10,1510.0,1500
147,10,1510.0,1500
149,10,1520.0,1500
151,10,1490.0,1000
153,10,1480.0,1000
155,10,1440.0,1000
157,10,1470.0,1000
159,10,1470.0,1000
161,10,1512.0,1500
163,8,1492.0,1000
165,10,1510.0,1500
167,6,1454.0,1000
169,11,1440.0,1000
171,11,1470.0,1000
173,7,2382.0,2000
175,11,1480.0,1000
177,10,1470.0,1000
179,10,1450.0,1000
181,10,1490.0,1000
183,10,1480.0,1000
185,10,1490.0,1000
187,11,1420.0,1000
189,10,1510.0,1500
191,8,1470.0,1000
193,10,1480.0,1000
195,10,1430.0,1000
197,10,1500.0,1500
199,11,1480.0,1000
