                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5 
                            model_number                                 star_age                               luminosity                                    log_L                             elapsed_time 
                                       2                  3.4369332366807200E-007                  7.4535851181092261E-001                 -1.2763478463427627E-001                  2.4478999999999999E+001 
                                       4                  7.1242477860402474E-007                  8.4230075580980013E-001                 -7.4532809608974668E-002                  5.6424999999999997E+001 
                                       6                  2.0971507912509372E-006                  9.6247576986411376E-001                 -1.6610194958960354E-002                  8.8888999999999996E+001 
                                       8                  4.2108578253470815E-006                  1.0721458392480070E+000                  3.0253864529065578E-002                  1.2207899999999999E+002 
                                      10                  6.5271858676134505E-006                  1.1885018135895706E+000                  7.4999848774625677E-002                  1.5588300000000001E+002 
                                      12                  9.8181131249213989E-006                  1.5116324437109279E+000                  1.7944620447640142E-001                  1.8712200000000001E+002 
                                      14                  1.2118852094586913E-005                  2.5745103385595374E+000                  4.1069464017970037E-001                  2.1972100000000000E+002 
                                      16                  1.3591325035172841E-005                  4.4427886566099808E+000                  6.4765565435022276E-001                  2.5188700000000000E+002 
                                      18                  1.4533707717147836E-005                  6.0789764496604191E+000                  7.8383046090338515E-001                  2.8452600000000001E+002 
                                      20                  1.5196204439116140E-005                  7.3405809688459520E+000                  8.6573043342821165E-001                  3.1626600000000002E+002 
                                      22                  1.6322371727231716E-005                  9.5136567545213886E+000                  9.7834747835291525E-001                  3.4682100000000003E+002 
                                      24                  1.7308643696291000E-005                  1.1391209490798225E+001                  1.0565698388545504E+000                  3.7832700000000000E+002 
                                      26                  1.9033978721251320E-005                  1.4102728120412797E+001                  1.1493031334380419E+000                  4.0970499999999998E+002 
                                      28                  2.1203365262958426E-005                  1.6403302421398816E+001                  1.2149312918895918E+000                  4.3965100000000001E+002 
                                      30                  2.8544426141071936E-005                  1.9573062251741220E+001                  1.2916587773694728E+000                  4.7120900000000000E+002 
                                      32                  3.8824301406085887E-005                  2.1569782391742187E+001                  1.3338457637143994E+000                  5.0172399999999999E+002 
                                      34                  5.4896673286597933E-005                  2.3890409061234656E+001                  1.3782235859790968E+000                  5.4254600000000005E+002 
                                      36                  7.0969045167109979E-005                  2.6088403215574857E+001                  1.4164474981923312E+000                  5.7418700000000001E+002 
                                      38                  8.7041417047622005E-005                  2.8113998504591269E+001                  1.4489226173963197E+000                  6.1169899999999996E+002 
                                      40                  1.0311378892813403E-004                  3.0046144841788923E+001                  1.4777887564936787E+000                  6.4185900000000004E+002 
                                      42                  1.1918616080864606E-004                  3.2065200408019919E+001                  1.5060339586092595E+000                  6.7945600000000002E+002 
                                      44                  1.3525853268915811E-004                  3.4072375315435899E+001                  1.5324024109505554E+000                  7.1253300000000002E+002 
                                      46                  1.5133090456967012E-004                  3.6121082820280073E+001                  1.5577607609056929E+000                  7.5047500000000002E+002 
                                      48                  1.6740327645018216E-004                  3.8255781151474231E+001                  1.5826970743253650E+000                  7.8304399999999998E+002 
                                      50                  1.9151183427095020E-004                  4.1743142456539623E+001                  1.6205851399897060E+000                  8.1470200000000000E+002 
                                      52                  2.2365657803197426E-004                  4.6244529042308223E+001                  1.6650603609177015E+000                  8.5120000000000005E+002 
                                      54                  2.5580132179299833E-004                  5.1512113935394957E+001                  1.7119093726652643E+000                  8.9161500000000001E+002 
                                      56                  2.7990987961376638E-004                  5.7078001005619448E+001                  1.7564687547819413E+000                  9.3457399999999996E+002 
                                      58                  2.9598225149427839E-004                  6.3264958302730818E+001                  1.8011632261369275E+000                  9.6907100000000003E+002 
                                      60                  3.1205462337479040E-004                  7.8965430185967676E+001                  1.8974370056533920E+000                  1.0094650000000000E+003 
                                      62                  3.1808176282998246E-004                  9.4776858609992544E+001                  1.9767023098607948E+000                  1.0637439999999999E+003 
                                      64                  3.2109533255757851E-004                  1.2243646535593936E+002                  2.0879107833675623E+000                  1.1070909999999999E+003 
                                      66                  3.2184872498947748E-004                  1.4904153808041818E+002                  2.1733073237480331E+000                  1.1592370000000001E+003 
                                      68                  3.2203707309745225E-004                  1.6556351221237364E+002                  2.2189646308132476E+000                  1.2138380000000000E+003 
                                      70                  3.2213124715143964E-004                  1.8363980266692838E+002                  2.2639668174161884E+000                  1.2558050000000001E+003 
                                      72                  3.2216177895943044E-004                  1.9564282150315398E+002                  2.2914639174615248E+000                  1.3133019999999999E+003 
                                      74                  3.2218059906712786E-004                  2.1305243046060684E+002                  2.3284864929115452E+000                  1.3760229999999999E+003 
